S.No, Var, Age
518,303,11
519,487,11
520,513,12
521,468,10
522,361,11
523,225,11
524,479,11
525,475,11
526,370,12
527,430,12
528,550,13
529,292,12
530,291,12
531,572,12
532,510,12
533,512,12
534,262,12
535,422,11
536,411,12
537,219,12
538,292,12
539,282,12
540,310,12
541,430,11
542,373,12
543,411,12
544,205,12
545,463,12
546,399,12
547,444,12
548,481,11
549,288,12
550,222,12
551,167,12
552,349,12
553,106,8
554,208,12
555,540,13
556,309,15
557,228,15
558,288,12
559,302,13
560,443,14
561,324,7
562,202,14
563,230,12
564,216,10
565,307,12
566,61.7,17
567,306,11
568,311,18
569,222,12
570,289,17
571,234,14
572,344,13
573,241,10
574,421,17
575,334,8
576,257,8
577,240,18
578,466,10
579,378,16
580,385,16
581,364,16
582,149,9
583,240,14
584,254,16
585,472,12
586,218,13
587,392,13
588,330,18
589,331,18
590,131,6
591,160,6
592,182,8
593,155,5
594,119,6
595,252,8
596,170,7
597,362,17
598,172,10
599,192,10
600,343,16
601,233,12
602,211,11
603,142,10
604,207,8
605,150,5
606,177,7
607,199,7
608,343,14
609,146,18
610,182,8
611,347,12
612,370,13
613,262,16
614,247,10
615,252,18
616,289,17
617,154,14
618,506,15
619,179,16
620,346,13
621,338,18
622,228,17
623,372,16
624,284,17
625,241,9
626,243,16
627,116,6
628,294,11
629,291,12
630,221,12
631,215,18
632,371,12
633,104,7
634,220,18
635,180,7
636,207,9
637,447,12
638,608,13
639,166,7
640,266,15
641,178,10
642,312,14
643,276,15
644,423,12
645,140,8
646,433,13
647,408,10
648,235,18
649,179,9
650,183,10
651,192,7
652,346,15
653,192,18
654,227,18
655,174,9
656,202,7
657,343,15
658,414,13
659,322,10
660,209,6
661,185,6
662,222,17
663,209,12
664,169,10
665,242,8
666,583,11
667,269,9
668,242,12
669,152,10
670,239,18
671,217,9
672,405,18
673,357,10
674,395,11
675,238,16
676,205,11
677,248,14
678,124,7
679,468,12
680,243,14
681,93.2,9
682,81.7,7
683,217,12
684,53.3,5
685,382,14
686,479,15
687,376,15
688,104,8
689,344,14
690,401,12
691,193,7
692,390,17
693,369,14
694,451,15
695,195,13
696,382,16
697,221,15
698,88,6
699,97.2,10
700,236,11
701,462,15
702,390,15
703,272,15
704,354,12
705,362,15
706,369,14
707,173,18
708,261,18
709,133,7
710,157,10
711,233,18
712,158,12
713,309,13
714,218,18
715,136,7
716,220,10
717,316,18
718,289,17
719,276,12
720,217,17
721,199,17
722,154,9
723,361,11
724,125,7
725,343,10
726,517,11
727,141,11
728,92.7,7
729,182,11
730,225,18
731,503,11
732,128,6
733,204,8
734,252,17
735,164,12
736,341,11
737,209,7
738,421,12
739,168,8
740,245,8
741,336,12
742,253,15
743,250,18
744,114,10
745,261,17
746,346,17
747,406,16
748,144,8
749,312,18
750,300,16
751,670,13
752,106,5
753,384,18
754,345,16
755,417,12
756,570,13
757,269,9
758,269,12
759,132,7
760,382,14
761,246,5
762,173,11
763,208,18
764,392,14
765,271,17
766,191,8
767,292,12
768,106,10
769,118,6
770,357,14
771,354,15
772,208,13
773,337,11
774,295,18
775,110,9
776,297,13
777,369,15
778,318,14
779,336,11
780,81.4,5
781,294,18
782,124,7
783,121,6
784,281,9
785,162,8
786,466,11
787,288,10
788,319,17
789,173,18
790,496,15
791,219,12
792,209,18
793,344,15
794,140,18
795,308,17
796,413,13
797,155,8
798,244,7
799,167,18
800,324,15
801,368,15
802,157,18
803,172,16
804,263,15
805,218,13
806,192,13
807,158,17
808,135,10
809,236,14
810,125,9
811,315,10
812,342,5
813,112,10
814,207,8
815,271,16
816,327,13
817,192,8
818,153,16
819,203,12
820,107,8
821,237,14
822,113,11
823,303,9
824,161,5
825,250,12
826,311,10
827,35.2,7
828,275,18
829,375,16
830,252,7
831,169,9
832,399,13
833,550,12
834,210,9
835,132,8
836,146,8
837,247,10
838,203,9
839,124,5
840,364,16
841,330,15
842,155,10
843,76.5,8
844,370,13
845,146,6
846,260,13
847,118,7
848,93.6,6
849,147,9
850,77.8,7
851,319,18
852,172,9
853,452,13
854,65.9,7
855,113,7
856,309,11
857,94.8,6
858,490,14
859,116,12
860,244,12
861,286,12
862,104,9
863,246,15
864,203,12
865,192,9
866,88.2,5
867,418,13
868,393,14
869,344,17
870,110,6
871,93.5,7
872,315,16
873,135,8
874,121,7
875,146,10
876,278,14
877,246,12
878,92.9,6
879,95.1,10
880,358,14
881,188,11
882,52.5,9
883,134,18
884,241,10
885,173,5
886,62.8,6
887,64.6,18
888,308,10
889,93.6,16
890,85.8,9
891,200,18
892,79.7,6
893,246,10
894,119,7
895,143,5
896,147,11
897,290,14
898,267,12
899,337,14
900,243,18
901,345,14
902,351,14
903,75.5,7
904,377,13
905,381,14
906,329,13
907,332,15
908,435,11
909,156,10
910,289,13
911,345,14
912,147,9
913,457,15
914,226,11
915,72.6,7
916,274,14
917,103,10
918,439,13
919,318,17
920,65.7,9
921,326,14
922,279,12
923,104,8
924,286,17
925,240,13
926,437,13
927,125,9
928,131,7
929,431,11
930,140,10
931,163,16
932,144,14
933,238,17
934,190,6
935,204,6
936,49,6
937,191,11
938,363,18
939,184,18
940,146,6
941,448,12
942,253,18
943,160,18
944,314,11
945,59.6,7
946,333,17
947,509,11
948,157,11
949,321,13
950,338,11
951,153,8
952,115,7
953,92.9,8
954,96,13
955,299,16
956,289,16
957,128,6
958,109,6
959,46.6,6
960,78.7,7
961,405,15
962,158,13
963,243,13
964,87.3,8
965,191,11
966,125,8
967,216,12
968,269,12
969,312,16
970,65.5,6
971,293,16
972,398,13
973,279,15
974,160,12
975,165,11
976,97.9,6
977,311,13
978,188,15
979,252,13
980,291,7
981,274,11
982,295,14
983,253,12
984,122,8
985,225,11
986,69.5,7
987,274,13
988,96,9
989,248,16
990,127,8
991,246,12
992,128,5
993,111,9
994,144,9
995,225,9
996,142,6
997,356,11
998,194,17
999,346,9
1000,79.3,5
1001,100,14
1002,333,15
1003,236,12
1004,197,17
1005,60.7,12
1006,389,15
1007,312,18
1008,307,13
1009,441,11
1010,201,13
1011,358,15
1012,110,8
1013,278,12
1014,39.6,6
1015,274,17
1016,286,17
1017,132,7
1018,80.8,8
1019,427,13
1020,178,14
1021,462,13
1022,435,13
1023,31.7,6
1024,435,16
1025,350,18
1026,211,15
1027,114,9
1028,86.1,7
1029,92.9,9
1030,80.9,7
1031,169,16
1032,357,13
1033,110,13
1034,172.8,18
1035,74.8,15
1036,49.3,5
1037,262,16
1038,57.5,9
1039,24.8,7
1040,383,15
1041,380,18
1042,244,17
1043,212,10
1044,199,5
1045,135,8
1046,87.7,5
1047,300,17
1048,386,14
1049,83,7
1050,309,13
1051,179,12
1052,291,17
1053,95.2,12
1054,233,14
1055,107,14
1056,381,14
1057,132,10
1058,165,18
1059,92.7,6
1060,207,15
1061,180,9
1062,126,11
1063,360,15
1064,136,8
1065,109,7
1066,167,9
1067,86,9
1068,301,13
1069,105,8
1070,91,6
1071,91.9,6
1072,109,6
1073,181,8
1074,313,9
1075,260,13
1076,211,9
1077,61.6,7
1078,122,18
1079,213,16
1080,144,13
1081,245,18
1082,134,7
1083,244,12
1084,142,18
1085,364,13
1086,376,11
1087,98.3,9
1088,252,17
1089,281,12
1090,413,13
1091,349,16
1092,218,13
1093,219,18
1094,168,9
1095,228,6
1096,116,10
1097,118,9
1098,378,13
1099,272,15
1100,116,6
1101,194,7
1102,250,9
1103,215,13
1104,323,17
1105,158,11
1106,340,14
1107,264,14
1108,276,15
1109,120,12
1110,262,10
1111,264,9
1112,159,8
1113,93.8,10
1114,111,11
1115,259,11
1116,144,9
1117,109,13
1118,126,9
1119,74,11
1120,327,15
1121,182,18
1122,209,18
1123,272,16
1124,235,16
1125,411,13
1126,177,18
1127,456,13
1128,289,14
1129,133,10
1130,370,16
1131,153,6
1132,162,16
1133,136,9
1134,272,18
1135,407,14
1136,341,16
1137,277,17
1138,344,15
1139,18.7,6
1140,158,10
1141,109,7
1142,131,9
1143,174,12
1144,262,17
1145,348,17
1146,86,5
1147,92.6,6
1148,87.7,7
1149,72.3,7
1150,148,14
1151,76.9,12
1152,120,10
1153,61.2,11
1154,353,10
1155,131,10
1156,123,8
1157,238,17
1158,208,17
1159,172,17
1160,332,17
1161,289,17
1162,250,17
1163,242,17
1164,287,17
1165,224,15
1166,123,18
1167,243,17
1168,196,17
1169,189,16
1170,207,17
1171,95.9,9
1172,297,16
1173,220,16
1174,172,18
1175,233,16
1176,119,18
1177,174,11
1178,337,13
1179,323,13
1180,249,10
1181,349,18
1182,426,13
1183,120,11
1184,247,16
1185,203,18
1186,435,14
1187,161,8
1188,295,17
1189,183,16
1190,134,10
1191,57.8,14
1192,121,11
1193,294,17
1194,204,18
1195,206,15
1196,168,18
1197,368,13
1198,313,11
1199,191,18
1200,204,17
1201,250,18
1202,257,17
1203,221,17
1204,326,14
1205,265,10
1206,374,12
1207,202,14
1208,122,18
1209,230,13
1210,243,14
1211,267,15
1212,153,18
1213,91,18
1214,308,12
1215,399,10
1216,215,14
1217,109,11
1218,188,13
1219,109,10
1220,215,11
1221,188,12
1222,218,15
1223,215,18
1224,232,18
1225,354,15
1226,210,17
1227,224,17
1228,243,16
1229,89,18
1230,298,6
1231,211,18
1232,209,11
1233,176,5
1234,192,15
1235,108,18
1236,182,6
1237,309,15
1238,188,17
1239,108,18
1240,186,15
1241,308,12
1242,209,17
1243,119,11
1244,94.9,16
1245,203,12
1246,189,8
1247,138,7
1248,85.9,7
1249,79.6,12
1250,202,10
1251,109,8
1252,211,6
1253,118,6
1254,109,7
1255,39.6,10
1256,108,13
1257,160.4,6
1258,289,18
1259,411,16
1260,71.9,18
1261,202,16
1262,147.9,11
1263,210,9
1264,311,17
1265,217,13
1266,108,8
1267,108,5
1268,218,9
1269,203,8
1270,315,12
1271,96,9
1272,186,11
1273,189,12
1274,198,9
1275,221,6
1276,318,7
1277,89,16
1278,311,10
1279,188,14
1280,189.4,9
1281,219,7
1282,210,18
1283,205,18
1284,105,13
1285,315,16
1286,415,14
1287,406,18
1288,308,12
1289,205,6
1290,184,13
1291,304,7
1292,180,7
1293,310,18
1294,211.4,16
1295,216.8,13
1296,234.8,12
1297,207.4,5
1298,184.8,12
1299,99.4,10
1300,152.3,15
1301,116.8,14
1302,205.8,12
1303,126.8,11
1304,128.4,12
1305,99.3,5
1306,196.3,12
1307,203.6,12
1308,198.3,10
1309,79.4,5
1310,178.2,13
1311,126.7,5
1312,207.4,6
1313,174.8,14
1314,150.4,7
1315,241.8,10
1316,177.4,8
1317,126.4,16
1318,119.4,18
1319,207.8,12
1320,171.8,9
1321,123.6,14
1322,199.6,16
1323,123.1,17
1324,124.8,10
1325,176.8,13
1326,162.8,10
1327,182.3,6
1328,211.4,10
1329,78.8,13
1330,180.4,10
1331,208.4,8
1332,170.8,11
1333,118.4,10
1334,191.4,9
1335,206.1,9
1336,241.8,8
1337,177.4,7
1338,116.8,8
1339,79.4,6
1340,148.4,10
1341,92.4,7
1342,144.2,9
1343,216.8,7
1344,77.8,14
1345,148.3,18
1346,75.4,8
1347,99.2,8
1348,201.4,13
1349,187.1,9
1350,277.8,12
1351,180.4,13
1352,218.4,14
1353,170.4,12
1354,201.4,10
1355,97.4,15
1356,109.4,9
1357,208.4,10
1358,200.4,13
1359,174.1,9
1360,76.9,10
1361,120,5
1362,161.9,9
1363,192.8,16
1364,282.4,16
1365,192.8,15
1366,303.6,18
1367,177.4,15
1368,214.8,14
1369,77.4,14
1370,216.8,9
1371,178.6,16
1372,246.8,9
1373,312.1,11
1374,177.6,13
1375,219.7,12
1376,248.7,6
1377,118.7,12
1378,200.4,5
1379,77.8,11
1380,182.7,15
1381,219.7,10
1382,247.1,14
1383,209.7,7
1384,229.1,17
1385,99.8,14
1386,326.8,13
1387,192.8,18
1388,73.4,18
1389,262.8,16
1390,199.4,13
1391,212.3,10
1392,320.4,8
1393,118.6,13
1394,77.6,15
1395,212.3,16
1396,300.8,12
1397,173.8,15
1398,250.3,15
1399,171.3,15
1400,101.2,18
1401,240.8,17
1402,307.8,14
1403,217.8,14
1404,242.8,14
1405,200.8,16
1406,216.8,17
1407,77.3,18
1408,87.8,18
1409,243.8,16
1410,222.7,8
1411,179.8,18
1412,228.3,13
1413,216.7,16
1414,76.8,9
1415,312.8,15
1416,279.3,6
1417,128.4,17
1418,187.3,18
1419,226.8,18
1420,243.6,16
1421,300.4,13
1422,118.3,16
1423,310.8,11
1424,78.3,15
1425,170.8,7
1426,191.8,14
1427,216.8,11
1428,181.4,16
1429,299.8,17
1430,270.3,15
1431,212.8,10
1432,316.5,16
1433,120.8,6
1434,201.8,7
1435,174.1,16
1436,226.8,18
1437,251.5,18
1438,210.3,5
1439,325.6,14
1440,192.8,15
1441,452.6,15
1442,325.5,12
1443,199.7,14
1444,226.8,14
1445,79.8,14
1446,200,18
1447,315.2,16
1448,292.8,17
1449,226,18
1450,236.1,17
1451,312.8,15
1452,187.3,15
1453,290.8,8
1454,161.7,6
1455,163.1,17
1456,487.9,15
1457,250.3,16
1458,158.3,14
1459,248.1,18
1460,178,10
1461,301.8,15
1462,290.8,15
1463,163.8,18
1464,241.4,9
1465,263.1,11
1466,133.1,5
1467,192.4,14
1468,453.3,12
1469,226.1,10
1470,244.6,14
1471,116.3,8
1472,147.8,11
1473,240.6,8
1474,350.5,13
1475,239,16
1476,280.8,13
1477,305,14
1478,310,15
1479,290,18
1480,302,16
1481,249.7,18
1482,342.7,18
1483,315,18
1484,380.2,16
1485,247.7,18
1486,259.6,10
1487,202,18
1488,315,17
1489,212,18
1490,182,18
1491,118,9
1492,202,7
1493,169.3,9
1494,219,11
1495,318,14
1496,265.2,7
1497,202,17
1498,356.7,13
1499,257.9,13
1500,358.2,13
1501,354.5,17
1502,257.5,14
1503,125.8,6
1504,225,16
1505,211,14
1506,242,18
1507,302,14
1508,229,18
1509,364,18
1510,463,14
1511,363,14
1512,315,15
1513,134,14
1514,294,16
1515,436,13
1516,276,11
1517,385,16
1518,314,18
1519,285,18
1520,232,18
1521,401,12
1522,144,6
1523,271,16
1524,366,17
1525,250,17
1526,128,8
1527,323,12
1528,128,7
1529,624,12
1530,227,9
1531,237,13
1532,365,16
1533,457,16
1534,585,15
1535,405,14
1536,287,8
1537,359,13
1538,309,18
1539,252,18
1540,199.4,14
1541,285,18
1542,280,18
1543,141,8
1544,90.8,5
1545,331,14
1546,317,15
1547,145,8
1548,85.4,10
1549,151,12
1550,144,12
1551,93.8,8
1552,374,13
1553,126,9
1554,168,18
1555,32.7,6
1556,85.6,6
1557,405,15
1558,182,10
1559,315,11
1560,200,7
1561,289,13
1562,166,11
1563,148,9
1564,81,6
1565,209,10
1566,159,10
1567,384,16
1568,480,14
1569,180,11
1570,323,15
1571,253,14
1572,407,13
1573,217,7
1574,353,11
1575,274,16
1576,333,18
1577,297,10
1578,90.6,5
1579,141,10
1580,193,12
1581,276,18
1582,154,6
1583,234,8
1584,232,9
1585,267,14
1586,235,15
1587,202,18
1588,213,18
1589,399,14
1590,213,15
1591,344,16
1592,162,18
1593,163,18
1594,60.7,10
1595,175,9
1596,175,12
1597,149,6
1598,122,7
1599,263,15
1600,270,14
1601,285,17
1602,179.3,10
1603,214,9
1604,256,17
1605,365,18
1606,71.6,10
1607,136,12
1608,537,14
1609,215,18
1610,310,14
1611,272,13
1612,159,9
1613,367,17
1614,141,14
1615,197,13
1616,202,13
1617,410,14
1618,433,13
1619,346,14
1620,380,14
1621,298,18
1622,288,13
1623,389,13
1624,221,14
1625,412,14
1626,227,14
1627,287,13
1628,328,14
1629,351,14
1630,297,14
1631,205,18
1632,239.4,16
1633,233,14
1634,245,15
1635,336,15
1636,262,15
1637,250,15
1638,219,17
1639,235,15
1640,326.2,15
1641,228,16
1642,350,17
1643,455,17
1644,374,15
1645,435,15
1646,148,12
1647,189,17
1648,337,16
1649,306,14
1650,293,9
1651,99.1,9
1652,276,12
1653,308,13
1654,119,10
1655,142,7
1656,107,11
1657,333,13
1658,106,10
1659,375,16
1660,207,9
1661,127,5
1662,67.6,6
1663,376,11
1664,158,13
1665,288,13
1666,187,9
1667,134,18
1668,174,15
1669,374,13
1670,260,16
1671,208,17
1672,267,18
1673,214,16
1674,60.1,8
1675,263,13
1676,38.4,5
1677,90.5,10
1678,186,11
1679,91.2,8
1680,448,12
1681,182,9
1682,341,14
1683,93,8
1684,279,13
1685,180,9
1686,485,12
1687,364,17
1688,429,15
1689,320,14
1690,145,10
1691,318,15
1692,111,7
1693,147,6
1694,149,9
1695,388,14
1696,237,11
1697,241,10
1698,107,5
1699,508,14
1700,121,12
1701,105,7
1702,412,13
1703,190,13
1704,305,11
1705,374,15
1706,359,10
1707,342,12
1708,135,10
1709,348,14
1710,110,9
1711,79.8,6
1712,161,18
1713,329,15
1714,82,6
1715,149,6
1716,308,15
1717,274,17
1718,339,15
1719,352,14
1720,199.7,18
1721,343,17
1722,242,15
1723,196,13
1724,112,6
1725,267,12
1726,345,13
1727,118,10
1728,301,17
1729,134,8
1730,280,10
1731,516,13
1732,120,8
1733,197,18
1734,279,14
1735,243,17
1736,335,17
1737,332,18
1738,441,13
1739,521,16
1740,118,9
1741,461,17
